"
Alejandro Garcés (UTP-Colombia)  "
Mauricio Aredes (UFRJ-Brasil)
Mauricio Schneebeli (SyR Energia-Argentina)
Miguel Aguirre (ITBA-Argentina)
"Miguel Aybar (INTEC, Rep.Dominicana)"
"Miguel Fuertes (PTI, Colombia)"
"Miguel Laborde (UBA, AR)"
Nicolas Matias Nemirovsky (ITBA-Argentina)
Norberto Barbieri (UTN-FRSN-Argentina) MEIHAPER)
Oriol Gomis (UPC-España)
"Oscar Izquierdo Monge (CEDER-CIEMAT, España)"
Osvaldo Ronald Saavedra (UFMA-Brasil)
"Oswaldo Junior (UNILA, Brasil)"
"Otto Sollberger (Est.Electricos, Argentina)"
Pablo Bertinat (PERMER-Argentina)
Pablo Maggi (UTE-Uruguay)
Pablo Rullo (UTN-FRSN-Argentina)
"Paula Peña Carro (CEDER-CIEMAT, España)"
Renzo Grover Fabián Espinoza (PTI-Brasil)
Ricardo Moreno (UAO-Colombia)
Roberto Carballo (UNaM-Argentina)
"Roberto Moncada (UFrontera, Chile)"
Roberto Villafafila (UPC-España)
Robson Dias (UFRJ-Brasil)
Rodrigo Bueno Otto (ABMR-Brasil)
"Rodrigo Bueno Otto (PTI, Brasil)"
"Rodrigo Efrain Sempertegui Alvarez (U.Cuenca, Ecuador)"
"Rubén Núñez (Beatriz, UNaM, Oberá, Argentina)"
"Santiago Patricio Torres Contreras (U.Cuenca, Ecuador)"
"Sergio Devalis (CEC-CECS, Argentina)"
Sergio Junco (UNR-Argentina)
"Thami Lutzenberger (GHMS, Brasil)"
Tomas Di Lavello (UTE-Uruguay)
Tomás Quintilla (UNVM-Argentina)
""
